comments,time,cleaned_comments,danger_categories,Arc Flash,Electrical Contact with Source,Excavation or Trench,Explosion,Fall from Elevation,Fire with Sustained Fuel Source,Heavy Rotating Equipment,High Dose of Toxic Chemical or Radiation,High Temperature,Mobile Equipment/Traffic with Workers on Foot,Motor Vehicle Incident,Steam,Suspended Load
Adequate amount of cover up usedLMA was working energized secondary with a service running a foot or so from the side of the body. The service needed a secondary blanket applied to eliminate the risk of making a second point of contact. SIF - Electrical Contact / Arc Flash,2024-06-28 09:50:00,adequate amount cover usedlma working energized secondary service running foot side body service needed secondary blanket applied eliminate risk making second point contact sif electrical contact arc flash,"['Electrical Contact with Source', 'Arc Flash']",1,1,0,0,0,0,0,0,0,0,0,0,0
"High energy hazards discussed and mitigatedHad to ask LMB if there were any other HIGH Energy hazards on the job. [NAME] failed to identify, ( Suspended load ) - cutout and bracket, ( [NAME] from Elevation ) - bucket work, ( Electrical Greater than 50volts ) 7620. ( Line of Fire ) [NAME] and hoist. The worker did have ( ARC Flash ) identified",2024-07-09 13:57:00,high energy hazards discussed mitigatedhad ask lmb high energy hazards job name failed identify suspended load cutout bracket name elevation bucket work electrical greater volts line fire name hoist worker arc flash identified,"['Suspended Load', 'Fire with Sustained Fuel Source', 'Arc Flash']",1,0,0,0,0,1,0,0,0,0,0,0,1
"Was the job briefing site specific?[NAME] failed to check off all stop procedure use, MAD and electric voltage. They also did not have a weekly safety topic that was discussed.",2021-03-16 11:00:00,job briefing site specificname failed check stop procedure use mad electric voltage also weekly safety topic discussed,['Electrical Contact with Source'],0,1,0,0,0,0,0,0,0,0,0,0,0
Other / Job BriefingGF on site encouraged company to adjust job briefing form to add information on secondarie - voltages. Not all areas have secondaries plus there is limited training provided on secondaries. I ( AEP Safety ) encouraged GF to communicate this gap to expand knowledge and job briefing to include such hazards.,2021-12-01 10:33:00,job briefinggf site encouraged company adjust job briefing form add information secondarie voltages areas secondaries plus limited training provided secondaries aep safety encouraged gf communicate gap expand knowledge job briefing include hazards,['Electrical Contact with Source'],0,1,0,0,0,0,0,0,0,0,0,0,0
Use Cut resistant gloves2 laborers in a trench were not wearing gloves while conducting their construction work. They were instructed to wear gloves by the driver of the equipment.,2024-07-15 13:23:00,use cut resistant gloves laborers trench wearing gloves conducting construction work instructed wear gloves driver equipment,"['Motor Vehicle Incident', 'Excavation or Trench']",0,0,1,0,0,0,0,0,0,0,1,0,0
"Appropriately protected Drilling Excavations (e.g., guardrail system, fall protection, hole covers, etc.)A pole was in the cased hole; however, there was over a foot gap all the way around the pole. The casing was not backfilled up to grade - There was a 6' drop from ground level. No barricades - Unattended.",2022-06-06 21:55:00,appropriately protected drilling excavations eg guardrail system fall protection hole covers etca pole cased hole however foot gap way around pole casing backfilled grade drop ground level barricades unattended,"['Fall from Elevation', 'Excavation or Trench']",0,0,1,0,1,0,0,0,0,0,0,0,0
Employee/s ensure permit is properly completed and filled outConfined Space Permit did not reflect the generation of CO2 gasses while dry ice blasting. Corrected.,2022-10-21 10:30:00,employees ensure permit properly completed filled outconfined space permit reflect generation co gasses dry ice blasting corrected,['Explosion'],0,0,0,1,0,0,0,0,0,0,0,0,0
"Hazard RecognitionPointed out the battery storage area that had explosion coating on the walls and light, however there was no ventilation system in place. Wasn't sure if this was needed.",2023-04-17 10:56:00,hazard recognitionpointed battery storage area explosion coating walls light however ventilation system place wasnt sure needed,['Explosion'],0,0,0,1,0,0,0,0,0,0,0,0,0
"Work-site HousekeepingContractor needed to be a little more specific in their THA / JHA about the potential hazards that could cause them slip, trip, or fall. Need to mitigate potential tripping hazards prior to performing the task. Remove large debris: chunks of concrete / rocks / dirt piles prior removing T - line foundation ring templates. Contractor needed to be a little more specific in their THA / JHA about the potential hazards that could cause them slip, trip, or fall. Need to mitigate potential tripping hazards prior to performing the task. Remove large debris: chunks of concrete / rocks / dirt piles prior removing T - line foundation ring templates.",2022-03-24 08:15:00,worksite housekeepingcontractor needed little specific tha jha potential hazards could cause slip trip fall need mitigate potential tripping hazards prior performing task remove large debris chunks concrete rocks dirt piles prior removing line foundation ring templates contractor needed little specific tha jha potential hazards could cause slip trip fall need mitigate potential tripping hazards prior performing task remove large debris chunks concrete rocks dirt piles prior removing line foundation ring templates,['Fall from Elevation'],0,0,0,0,1,0,0,0,0,0,0,0,0
"Other - additional PPE is in use as required (Hearing protection, respirators, metatarsal protection, chaps, inspected appropriate fall protection, etc.).Hearing protection not being worn by boring machine operator as required. Noise level went as high as 110 dB. Anytime the noise level is above 85 dB, hearing protection is required.",2024-07-03 11:00:00,additional ppe use required hearing protection respirators metatarsal protection chaps inspected appropriate fall protection etchearing protection worn boring machine operator required noise level went high db anytime noise level db hearing protection required,['Fall from Elevation'],0,0,0,0,1,0,0,0,0,0,0,0,0
